lokacija	broj_soba	kvadratura	sprat	novogradnja	centralno_grejanje	lift	parking	uknjizen	stanje	cena	klasa
Vračar-Kalenić pijaca	4	97	III-IV	DA	DA	DA		NE	2	1618.556701	1.5-1.7K
Centar-Stari grad	3	86	III-IV	NE	DA	DA		DA	1	1616.27907	1.5-1.7K
Kalemegdan	3	65	V+	NE	NE	DA		DA	1	1615.384615	1.5-1.7K
Učiteljsko naselje	1	26	I-II		DA		DA	DA	2	1615.384615	1.5-1.7K
Novi Beograd-Opština	2	62	III-IV	NE	DA	DA	DA	DA	1	1612.903226	1.5-1.7K
Slavija	3	59	P	NE	NE		DA			1610.169492	1.5-1.7K
Vračar-Kalenić pijaca	3	74	V+	NE	DA	DA		DA	1	1608.108108	1.5-1.7K
Novi Beograd-Opština	1	28	V+	NE	NE	DA		DA	1	1607.142857	1.5-1.7K
Medaković 3	3	56	P	DA	NE					1601.785714	1.5-1.7K
Novi Beograd-Fontana	3	85	V+	DA	DA	DA	DA	DA	2	1600.588235	1.5-1.7K
Novi Beograd-Fontana	1	30	P	NE	DA	DA	NE	DA		1600	1.5-1.7K
Beli dvor	2	60	I-II		DA					1600	1.5-1.7K
Beli dvor	4	150	III-IV		DA	DA			2	1600	1.5-1.7K
Centar-Stari grad	1	30	P		NE			DA	1	1600	1.5-1.7K
Konjarnik-Denkova basta 	2	40	III-IV	DA	DA	DA		DA	1	1600	1.5-1.7K
Djeram pijaca 	2	36	P	DA	DA	DA	DA	DA	2	1600	1.5-1.7K
Djeram pijaca 	2	59	I-II	DA	DA	DA	DA	DA	2	1600	1.5-1.7K
Djeram pijaca 	2	36	I-II	DA	DA	DA	DA	DA	2	1600	1.5-1.7K
Djeram pijaca 	3	63	I-II	DA	DA	DA	DA	DA	1	1600	1.5-1.7K
Djeram pijaca 	2	62	I-II	DA	DA		NE	DA	2	1600	1.5-1.7K
Golf naselje	2	45	P		DA	DA		DA	1	1600	1.5-1.7K
Golf naselje	1	40	P		DA			DA		1600	1.5-1.7K
Lekino Brdo	3	47	I-II	DA	NE			DA	2	1600	1.5-1.7K
Lekino Brdo	2	45	I-II	DA	DA	DA	DA	DA	2	1600	1.5-1.7K
Tašmajdan	1	30	III-IV	DA	DA	DA	NE	DA		1600	1.5-1.7K
Učiteljsko naselje	1	37	I-II	DA	DA					1600	1.5-1.7K
Novi Beograd-Hotel Jugoslavija	4	92	V+	NE	DA	DA	DA	DA	1	1597.826087	1.5-1.7K
Učiteljsko naselje	1	41	I-II	DA	DA					1597.560976	1.5-1.7K
Djeram pijaca 	3	62	I-II	DA	DA	NE	NE	DA	2	1596.774194	1.5-1.7K
Lekino Brdo	2	52	I-II	DA	DA	DA			2	1596.153846	1.5-1.7K
Vukov Spomenik	3	74	I-II	DA	DA	DA		DA	2	1594.594595	1.5-1.7K
Kumodraž 1	3	71	P	DA	DA	DA	DA	DA		1594.366197	1.5-1.7K
Golf naselje	4	88	I-II		DA	DA		DA		1590.909091	1.5-1.7K
Tašmajdan	3	66	III-IV	NE	DA		NE	DA	1	1590.909091	1.5-1.7K
Donji Dorćol	3	105	I-II		NE			DA	1	1590.47619	1.5-1.7K
Djeram pijaca 	2	61	III-IV	DA	DA	DA	NE		1	1590.163934	1.5-1.7K
Beli dvor	3	70	I-II		DA			DA		1585.714286	1.5-1.7K
Čukarička padina	2	41	P	NE	NE			DA	1	1585.365854	1.5-1.7K
Čukarička padina	2	41	P	NE	NE			DA	1	1585.365854	1.5-1.7K
Vračar-Kalenić pijaca	1	41	III-IV	DA	DA	DA	DA		2	1585.365854	1.5-1.7K
Donji Dorćol	3	70	III-IV		DA	DA		DA		1584.285714	1.5-1.7K
Vukov Spomenik	3	55	V+	DA	DA	DA	DA	DA	2	1583.4	1.5-1.7K
Vračar-Hram	2	60	I-II		NE			DA	1	1583.333333	1.5-1.7K
Kanarevo brdo	3	79	III-IV	DA	DA	DA	NE	DA	2	1582.278481	1.5-1.7K
Tašmajdan	3	74	P	NE	DA		NE	DA	0	1581.081081	1.5-1.7K
Djeram pijaca 	2	50	V+	DA	DA	DA	NE		2	1580	1.5-1.7K
Dušanovac	1	38	I-II	DA	NE	NE				1578.947368	1.5-1.7K
Vukov Spomenik	3	76	V+	NE	DA	DA		DA	1	1578.947368	1.5-1.7K
Vukov Spomenik	3	76	V+	NE	DA	DA		DA	2	1578.947368	1.5-1.7K
Vračar-Hram	1	26	I-II		NE			DA	1	1576.923077	1.5-1.7K
Vukov Spomenik	4	92	I-II	NE	NE	NE		DA	1	1576.086957	1.5-1.7K
Vukov Spomenik	4	92	I-II	NE	NE	DA		DA	1	1576.086957	1.5-1.7K
Bežanijska kosa-Blokovi	2	40	V+		DA	DA		DA		1575	1.5-1.7K
Donji Dorćol	2	40	III-IV		NE			DA		1575	1.5-1.7K
Tašmajdan	1	40	III-IV	DA	DA	DA	NE	DA	1	1575	1.5-1.7K
Lekino Brdo	3	54	III-IV	DA	NE	DA		DA	1	1574.074074	1.5-1.7K
Vračar-Hram	2	54	P		DA			DA	1	1574.074074	1.5-1.7K
Novi Beograd-Opština	3	75	V+	NE	DA	DA	NE	DA		1573.333333	1.5-1.7K
Novi Beograd-Sava Centar	2	55	III-IV	DA	DA	DA	NE	DA	2	1572.727273	1.5-1.7K
Centar-Stari grad	3	70	I-II		NE			DA	1	1571.428571	1.5-1.7K
Novi Beograd-Hotel Jugoslavija	3	70	III-IV	NE	DA	DA		DA	0	1571.428571	1.5-1.7K
Profesorska kolonija	2	49	V+	NE	NE	DA		DA	1	1571.428571	1.5-1.7K
Golf naselje	3	72	V+		DA	DA		DA	2	1569.444444	1.5-1.7K
Vukov Spomenik	2	49	V+	DA	DA	DA	DA	DA	2	1568.959184	1.5-1.7K
Beli dvor	4	102	III-IV	DA	DA	DA	DA	DA	2	1568.627451	1.5-1.7K
Profesorska kolonija	1	35	I-II	NE	NE				0	1568.571429	1.5-1.7K
Novi Beograd-Blokovi Sava	1	37	I-II		DA	DA				1567.567568	1.5-1.7K
Novi Beograd-Sava Centar	3	74	I-II	DA	DA	DA	DA	DA	2	1567.567568	1.5-1.7K
Vukov Spomenik	1	37	I-II	NE	DA	DA		DA	1	1567.567568	1.5-1.7K
Novi Beograd-Sava Centar	3	67	V+	DA	DA	DA	DA		2	1567.164179	1.5-1.7K
Vračar-Kalenić pijaca	3	67	I-II	NE	NE			DA	1	1567.164179	1.5-1.7K
Vukov Spomenik	2	50	V+	DA	DA	DA	DA	DA	2	1566.3	1.5-1.7K
Konjarnik-Denkova basta 	1	26	III-IV	DA	NE				1	1565.384615	1.5-1.7K
Tašmajdan	2	62	I-II	NE	DA	DA	NE	DA	1	1564.516129	1.5-1.7K
Konjarnik-Denkova basta 	1	32	I-II		NE					1562.5	1.5-1.7K
Golf naselje	2	48	III-IV		DA			DA	1	1562.5	1.5-1.7K
Novi Beograd-Opština	1	32	III-IV	NE	DA	DA		DA		1562.5	1.5-1.7K
Slavija	3	48	I-II	NE	NE	DA		DA	2	1562.5	1.5-1.7K
Crveni krst	1	34	I-II	DA	DA	DA			1	1558.823529	1.5-1.7K
Konjarnik-Denkova basta 	3	77	V+		DA	DA		DA		1558.441558	1.5-1.7K
Centar-Stari grad	2	61	I-II	NE	DA	DA		DA	0	1557.377049	1.5-1.7K
Beli dvor	2	36	III-IV		DA					1555.555556	1.5-1.7K
Centar-Stari grad	3	63	III-IV	NE	DA	DA		DA	1	1555.555556	1.5-1.7K
Djeram pijaca 	2	45	V+	DA	DA	DA	NE	DA	2	1555.555556	1.5-1.7K
Golf naselje	1	27	I-II		DA			DA	0	1555.555556	1.5-1.7K
Tašmajdan	3	72	P	NE	NE	NE	NE	DA	1	1555.555556	1.5-1.7K
Djeram pijaca 	3	56	I-II	DA	DA	NE	NE	DA	1	1553.571429	1.5-1.7K
Vukov Spomenik	3	56	I-II	NE	DA	NE		DA	1	1553.571429	1.5-1.7K
Vukov Spomenik	2	56	I-II	NE	DA			DA	2	1553.571429	1.5-1.7K
Vračar-Hram	4	190	III-IV	DA	DA	DA		DA	1	1552.631579	1.5-1.7K
Konjarnik-Denkova basta 	1	40	III-IV	DA	DA	DA				1550	1.5-1.7K
Kalemegdan	2	40	V+		DA	DA		DA		1550	1.5-1.7K
Kalemegdan	3	60	V+		DA			DA		1550	1.5-1.7K
Tašmajdan	2	58	I-II	NE	DA	NE	NE	NE	1	1550	1.5-1.7K
Novi Beograd-Opština	3	60	V+	NE	DA	DA	DA	DA	2	1498.333333	1.3-1.5K
Novi Beograd-Studentski grad	2	34	V+	NE	DA	DA		DA	1	1497.058824	1.3-1.5K
Filmski grad	3	79	I-II	DA	DA	DA	NE		2	1493.670886	1.3-1.5K
Golf naselje	3	75	I-II		NE			DA	1	1493.333333	1.3-1.5K
Profesorska kolonija	3	75	I-II	NE	NE	DA		NE	1	1493.333333	1.3-1.5K
Novi Beograd-Opština	3	67	P	NE	DA	DA	NE	DA	1	1492.537313	1.3-1.5K
Autokomanda	2	57	I-II		DA	DA		DA		1491.22807	1.3-1.5K
Golf naselje	2	55	III-IV	NE	DA		DA	DA	0	1490.909091	1.3-1.5K
Novi Beograd-Sava Centar	2	53	V+		DA	DA	NE	DA		1490.566038	1.3-1.5K
Konjarnik-Denkova basta 	2	49	I-II	DA	DA				1	1489.795918	1.3-1.5K
Crveni krst	2	47	V+		DA	DA	NE	DA		1489.361702	1.3-1.5K
Konjarnik-Denkova basta 	2	53	I-II	DA	NE				1	1488.679245	1.3-1.5K
Profesorska kolonija	4	84	III-IV	NE	NE	NE		DA	1	1488.095238	1.3-1.5K
Autokomanda	3	82	I-II	DA	DA	DA	DA	DA	2	1487.804878	1.3-1.5K
Autokomanda	3	82	I-II	DA	DA	DA	DA	DA	2	1487.804878	1.3-1.5K
Bežanijska kosa-Blokovi	3	74	III-IV		DA	DA	DA	DA	2	1486.486486	1.3-1.5K
Učiteljsko naselje	2	49	I-II	DA	NE				1	1485.714286	1.3-1.5K
Učiteljsko naselje	2	53	I-II	DA	NE				1	1484.90566	1.3-1.5K
Medaković 3	2	66	P	NE	DA			DA	1	1484.848485	1.3-1.5K
Autokomanda	2	60	V+		DA	DA	DA	DA	2	1483.333333	1.3-1.5K
Crveni krst	1	29	III-IV	DA	DA	DA	NE			1482.758621	1.3-1.5K
Tašmajdan	2	56	I-II	NE	DA	DA	DA	DA	1	1482.142857	1.3-1.5K
Vračar-Kalenić pijaca	2	55	V+	NE	DA	DA	DA	DA	1	1481.818182	1.3-1.5K
Tašmajdan	2	54	III-IV	DA	DA	DA	NE	DA	1	1481.481481	1.3-1.5K
Novi Beograd-Studentski grad	2	56	III-IV		DA	DA		DA		1480.357143	1.3-1.5K
Karaburma	2	50	V+		DA	DA		DA	2	1480	1.3-1.5K
Konjarnik	4	100	III-IV	NE	DA	DA		DA		1480	1.3-1.5K
Zemun-Save Kovačevića	3	71	V+	NE	DA	DA		DA	0	1478.873239	1.3-1.5K
Zemun-Kalvarija	3	71	I-II	DA	NE			DA	2	1478.873239	1.3-1.5K
Donji Dorćol	3	73	V+		DA	DA		DA		1478.082192	1.3-1.5K
Djeram pijaca 	2	44	V+	DA	DA	DA	NE	DA	2	1477.272727	1.3-1.5K
Novi Beograd-Sava Centar	3	44	P	NE	DA	NE	NE	DA	1	1477.272727	1.3-1.5K
Novi Beograd-Studentski grad	3	86	P	NE	DA	DA		DA	2	1476.744186	1.3-1.5K
Tašmajdan	2	63	V+	DA	DA	DA	DA	DA	1	1476.190476	1.3-1.5K
Tašmajdan	2	57	V+	NE	DA	DA	DA	DA	1	1473.684211	1.3-1.5K
Lekino Brdo	3	74	I-II	DA	NE			DA	1	1472.972973	1.3-1.5K
Bežanijska kosa-stara	2	36	I-II	NE	DA	DA		DA		1472.222222	1.3-1.5K
Zemun-Kalvarija	2	36	I-II	DA	NE		DA	DA	2	1472.222222	1.3-1.5K
Donji Dorćol	3	68	I-II		DA			DA	1	1470.588235	1.3-1.5K
Mirijevo 2	4	85	P		DA			DA	1	1470.588235	1.3-1.5K
Novi Beograd-Opština	4	85	III-IV	NE	DA	DA	DA	DA	1	1470.588235	1.3-1.5K
Novi Beograd-Sava Centar	1	34	V+	NE	DA	DA	NE	DA		1470.588235	1.3-1.5K
Novi Beograd-Sava Centar	2	34	V+	NE	DA	DA	DA	DA	1	1470.588235	1.3-1.5K
Dušanovac	4	100	III-IV	DA	DA	NE	DA	DA	2	1470	1.3-1.5K
Slavija	3	64	V+	NE	NE	DA	DA	DA		1468.75	1.3-1.5K
Crveni krst	1	45	V+		DA	DA	NE			1466.666667	1.3-1.5K
Slavija	2	60	I-II	NE	NE			DA	1	1466.666667	1.3-1.5K
Tašmajdan	3	75	V+	NE	DA	DA	NE	DA	2	1466.666667	1.3-1.5K
Kalemegdan	2	58	III-IV		NE			DA		1465.517241	1.3-1.5K
Golf naselje	2	45	I-II		DA		DA	DA	2	1464.444444	1.3-1.5K
Profesorska kolonija	3	82	III-IV	NE	DA			DA	1	1463.414634	1.3-1.5K
Zemun-Save Kovačevića	1	41	P		NE					1463.414634	1.3-1.5K
Profesorska kolonija	2	54	I-II		DA			DA	1	1462.962963	1.3-1.5K
Novi Beograd-Hotel Jugoslavija	3	80	V+	NE	DA	DA		DA		1462.5	1.3-1.5K
Autokomanda	4	106	III-IV	DA	NE		DA	DA	2	1462.264151	1.3-1.5K
Novi Beograd-Opština	3	82	I-II	NE	DA	DA	NE	DA	1	1462.195122	1.3-1.5K
Autokomanda	2	52	V+	DA	DA	DA		DA		1461.538462	1.3-1.5K
Novi Beograd-Studentski grad	2	50	III-IV		DA	NE		DA		1460	1.3-1.5K
Medaković 3	1	37	V+	NE	DA	DA		DA	2	1459.459459	1.3-1.5K
Konjarnik-Denkova basta 	1	35	P		DA		DA	DA		1457.142857	1.3-1.5K
Novi Beograd-Hotel Jugoslavija	1	46	V+	NE	DA	DA		DA		1456.521739	1.3-1.5K
Učiteljsko naselje	2	36	I-II	DA	NE		DA	DA	2	1455.555556	1.3-1.5K
Konjarnik	1	44	III-IV	NE	DA	NE		NE	2	1454.545455	1.3-1.5K
Tašmajdan	1	44	V+	DA	DA	DA	NE	DA	1	1454.545455	1.3-1.5K
Učiteljsko naselje	1	33	I-II	DA	NE			NE		1454.545455	1.3-1.5K
Medaković 3	2	53	V+		DA	DA		DA		1452.830189	1.3-1.5K
Banjica	3	62	III-IV	DA	DA	DA	DA		1	1451.612903	1.3-1.5K
Bežanijska kosa-Blokovi	2	62	I-II		DA	DA	DA	DA	2	1451.612903	1.3-1.5K
Novi Beograd-Opština	4	93	III-IV	NE	DA	DA	NE	DA	2	1451.612903	1.3-1.5K
Učiteljsko naselje	1	31	I-II	DA	DA				2	1451.612903	1.3-1.5K
Konjarnik-Denkova basta 	4	102	I-II	NE	DA		DA	DA	1	1450.980392	1.3-1.5K
Novi Beograd-Fontana	2	60	V+		DA	DA	NE	DA	1	1450	1.3-1.5K
Dušanovac	4	83	P	DA	DA	NE				1450	1.3-1.5K
Slavija	3	100	I-II	NE	NE			DA	2	1450	1.3-1.5K
Vračar-Hram	2	62	I-II	NE	NE			DA	1	1450	1.3-1.5K
Košutnjak	4	96	I-II	DA	NE			DA	0	1447.916667	1.3-1.5K
Čukarička padina	2	47	V+	NE	DA	DA		DA	2	1446.808511	1.3-1.5K
Čukarička padina	2	47	V+	NE	DA	DA		DA	2	1446.808511	1.3-1.5K
Novi Beograd-Fontana	1	36	III-IV		DA		NE	DA		1444.444444	1.3-1.5K
Lekino Brdo	2	45	V+	NE	DA	DA		DA	1	1444.444444	1.3-1.5K
Bežanijska kosa-Blokovi	3	52	V+		DA	DA	DA	DA		1442.307692	1.3-1.5K
Zemun-Kalvarija	4	104	I-II	DA	NE		DA		2	1442.307692	1.3-1.5K
Košutnjak	4	95	I-II	NE	NE			DA	2	1442.105263	1.3-1.5K
Dušanovac	2	59	I-II	NE	DA	NE		DA	1	1440.677966	1.3-1.5K
Zemun-Save Kovačevića	3	59	I-II	DA	DA	NE	DA	DA	1	1440.677966	1.3-1.5K
Novi Beograd-Blokovi Sava	2	50	V+		DA	DA		DA	2	1440	1.3-1.5K
Učiteljsko naselje	1	25	I-II	DA	DA		DA		2	1440	1.3-1.5K
Učiteljsko naselje	1	25	I-II	DA	DA				2	1440	1.3-1.5K
Lekino Brdo	3	73	I-II	DA	DA	NE	DA		1	1438.356164	1.3-1.5K
Crveni krst	2	48	V+	NE	DA	DA	DA	DA	1	1437.5	1.3-1.5K
Novi Beograd-Opština	4	87	V+	NE	DA	DA	DA	DA	2	1436.781609	1.3-1.5K
Crveni krst	2	62	III-IV	NE	DA	DA	NE	DA	1	1435.483871	1.3-1.5K
Novi Beograd-Fontana	1	30	P	NE	DA	DA	NE	DA	1	1433.333333	1.3-1.5K
Novi Beograd-Opština	4	90	V+	NE	DA	DA	NE	DA	1	1433.333333	1.3-1.5K
Profesorska kolonija	2	60	I-II	NE	NE		DA	DA	1	1433.333333	1.3-1.5K
Tašmajdan	3	60	I-II	NE	NE		DA	DA	1	1433.333333	1.3-1.5K
Cerak vinogradi	1	37	V+		DA	DA		DA	1	1432.432432	1.3-1.5K
Autokomanda	2	44	I-II	DA	NE				2	1431.818182	1.3-1.5K
Konjarnik-Denkova basta 	2	51	III-IV	DA	DA	DA				1431.372549	1.3-1.5K
Medaković 1	1	23	I-II	NE	NE	NE	DA	DA	1	1430.434783	1.3-1.5K
Medaković 1	1	23	I-II	NE	NE	NE	DA	DA	1	1430.434783	1.3-1.5K
Konjarnik-Denkova basta 	3	70	P	NE	DA			DA	0	1428.571429	1.3-1.5K
Novi Beograd-Hotel Jugoslavija	3	70	I-II	NE	DA	DA		DA		1428.571429	1.3-1.5K
Novi Beograd-Sava Centar	3	70	I-II	NE	DA	DA	NE	DA	1	1428.571429	1.3-1.5K
Novi Beograd-Sava Centar	3	70	V+	NE	DA		NE		1	1428.571429	1.3-1.5K
Profesorska kolonija	3	70	P	NE	DA	DA		DA	1	1428.571429	1.3-1.5K
Centar-Stari grad	2	56	V+	NE	DA	DA		DA	1	1426.785714	1.3-1.5K
Novi Beograd-Fontana	3	61	I-II	NE	DA	DA	NE	DA	1	1426.229508	1.3-1.5K
Novi Beograd-Opština	2	61	V+	NE	DA	DA	NE	DA		1426.229508	1.3-1.5K
Bežanijska kosa-Blokovi	2	40	III-IV	DA	DA				1	1425	1.3-1.5K
Novi Beograd-Hotel Jugoslavija	2	40	V+	NE	DA	DA			2	1425	1.3-1.5K
Novi Beograd-Blokovi Sava	1	40	III-IV	DA	DA			NE	1	1425	1.3-1.5K
Novi Beograd-Fontana	1	33	I-II		DA	DA	NE	DA	1	1424.242424	1.3-1.5K
Zemun-Kalvarija	1	33	I-II	DA	NE					1424.242424	1.3-1.5K
Djeram pijaca 	4	158	III-IV	DA	DA	DA	NE	DA	2	1424.050633	1.3-1.5K
Novi Beograd-Fontana	2	42	V+	NE	DA	DA	NE	DA	1	1423.809524	1.3-1.5K
Konjarnik-Denkova basta 	1	26	III-IV	DA	NE					1423.076923	1.3-1.5K
Konjarnik	1	38	I-II	NE	DA	NE				1421.052632	1.3-1.5K
Zemun-Save Kovačevića	1	38	I-II		DA	DA		DA		1421.052632	1.3-1.5K
Novi Beograd-Opština	4	88	V+	NE	DA	DA	NE	DA	2	1420.454545	1.3-1.5K
Profesorska kolonija	3	88	III-IV	NE	NE		DA	DA	1	1420.454545	1.3-1.5K
Profesorska kolonija	1	31	P	NE	NE			DA	1	1419.354839	1.3-1.5K
Konjarnik-Denkova basta 	3	56	I-II	DA	DA	DA				1418.928571	1.3-1.5K
Bogoslovija	2	74	III-IV		NE					1418.918919	1.3-1.5K
Golf naselje	4	98	I-II		DA			DA	2	1418.367347	1.3-1.5K
Novi Beograd-Fontana	2	55	I-II	NE	DA	DA	NE	DA	1	1418.181818	1.3-1.5K
Vračar-Hram	2	55	III-IV		DA	DA		DA		1418.181818	1.3-1.5K
Novi Beograd-Sava Centar	3	67	III-IV	NE	DA	DA	DA	DA	1	1417.910448	1.3-1.5K
Tašmajdan	2	67	V+	DA	DA	DA	NE	DA	1	1417.910448	1.3-1.5K
Konjarnik-Denkova basta 	1	36	III-IV		NE					1416.666667	1.3-1.5K
Djeram pijaca 	1	36	P	NE	NE	NE	NE	DA		1416.666667	1.3-1.5K
Novi Beograd-Hotel Jugoslavija	1	48	V+	NE	DA	DA		DA	0	1416.666667	1.3-1.5K
Kalemegdan	2	60	V+		DA	NE		DA	2	1416.666667	1.3-1.5K
Novi Beograd-Studentski grad	1	36	III-IV	NE	DA			DA	1	1416.666667	1.3-1.5K
Novi Beograd-Sava Centar	3	72	I-II	NE	DA	DA	DA	DA	2	1416.666667	1.3-1.5K
Filmski grad	3	77	I-II	DA	DA	DA	DA	NE	2	1415.584416	1.3-1.5K
Beli dvor	4	106	III-IV		DA	DA			1	1415.09434	1.3-1.5K
Konjarnik-Denkova basta 	2	70	III-IV	DA		DA			2	1414.285714	1.3-1.5K
Novi Beograd-Hotel Jugoslavija	2	46	III-IV	DA	DA			DA	1	1413.043478	1.3-1.5K
Košutnjak	4	92	III-IV		DA	DA		DA	0	1413.043478	1.3-1.5K
Medaković 1	1	46	P	NE				DA	2	1413.043478	1.3-1.5K
Medaković 1	1	46	P	NE				DA	2	1413.043478	1.3-1.5K
Tašmajdan	4	109	III-IV	NE	DA	DA	NE	DA	1	1412.844037	1.3-1.5K
Tašmajdan	2	63	I-II	NE	DA	DA	NE	DA	1	1412.698413	1.3-1.5K
Lekino Brdo	4	202	III-IV	DA	DA	DA	DA	DA	2	1410.891089	1.3-1.5K
Konjarnik-Denkova basta 	3	78	I-II		DA		DA	DA		1410.25641	1.3-1.5K
Djeram pijaca 	4	117	I-II	DA	DA		NE	DA	1	1410.25641	1.3-1.5K
Slavija	3	78	III-IV	NE	NE	DA		DA		1410.25641	1.3-1.5K
Vračar-Hram	3	78	III-IV	NE	DA	NE		DA	1	1410.25641	1.3-1.5K
Kanarevo brdo	1	22	I-II	NE	DA		NE	DA		1409.090909	1.3-1.5K
Čukarička padina	1	33	V+	NE	DA	DA	DA	DA	1	1409.090909	1.3-1.5K
Čukarička padina	1	33	V+	NE	DA	DA	DA	DA	1	1409.090909	1.3-1.5K
Vukov Spomenik	2	64	V+	NE	DA	DA		DA	2	1406.25	1.3-1.5K
Djeram pijaca 	4	101	I-II	NE	NE		NE	DA	1	1405.940594	1.3-1.5K
Karaburma	1	37	I-II	NE	DA				1	1405.405405	1.3-1.5K
Čukarička padina	3	84	I-II	NE	DA	DA		DA	2	1404.761905	1.3-1.5K
Čukarička padina	3	84	I-II	NE	DA	DA		DA	2	1404.761905	1.3-1.5K
Novi Beograd-Sava Centar	4	89	III-IV	NE	DA	DA	NE	DA	1	1404.494382	1.3-1.5K
Autokomanda	3	57	P		DA			DA		1403.508772	1.3-1.5K
Novi Beograd-Hotel Jugoslavija	1	32	V+	NE	DA	DA		DA	1	1403.125	1.3-1.5K
Konjarnik-Denkova basta 	3	69	III-IV	DA	DA	DA	DA			1402.898551	1.3-1.5K
Učiteljsko naselje	3	69	III-IV		DA			NE	2	1402.898551	1.3-1.5K
Tašmajdan	3	82	V+	NE	DA	DA	DA	DA	1	1402.439024	1.3-1.5K
Vukov Spomenik	3	82	V+	NE	DA	DA		DA	1	1402.439024	1.3-1.5K
Učiteljsko naselje	1	46	I-II	DA	DA		DA	DA		1402.173913	1.3-1.5K
Novi Beograd-Studentski grad	2	52	I-II		DA	DA		DA		1401.923077	1.3-1.5K
Zemun-Save Kovačevića	2	56	I-II	NE	DA	DA		DA	1	1401.785714	1.3-1.5K
Konjarnik-Denkova basta 	1	42	I-II		DA					1400	1.3-1.5K
Konjarnik-Denkova basta 	3	63	III-IV	DA	DA	DA	DA	DA		1400	1.3-1.5K
Djeram pijaca 	2	55	I-II	DA	NE		NE		1	1400	1.3-1.5K
Filmski grad	1	40	P	DA	DA	DA	NE		2	1400	1.3-1.5K
Kalemegdan	1	40	V+	NE	DA	NE		DA	2	1400	1.3-1.5K
Karaburma	3	75	I-II	NE	DA		DA	DA	2	1400	1.3-1.5K
Novi Beograd-Opština	2	55	III-IV	NE	DA	DA	DA	DA	1	1400	1.3-1.5K
Novi Beograd-Sava Centar	2	55	V+	NE	DA	DA	NE	DA	1	1400	1.3-1.5K
Novi Beograd-Sava Centar	2	55	V+	NE	DA	DA	NE	DA	1	1400	1.3-1.5K
Profesorska kolonija	2	50	I-II		DA			DA		1400	1.3-1.5K
Profesorska kolonija	3	60	V+	DA	DA	DA	NE	DA	1	1400	1.3-1.5K
Slavija	2	60	I-II	NE	NE	DA		DA	1	1400	1.3-1.5K
Tašmajdan	1	25	V+	DA	DA	DA	NE	DA	1	1400	1.3-1.5K
Učiteljsko naselje	1	30	I-II	DA	DA					1400	1.3-1.5K
Višnjicka banja	2	25	III-IV		DA			DA	0	1400	1.3-1.5K
Zemun-Save Kovačevića	1	25	III-IV	DA	DA				1	1400	1.3-1.5K
Beli dvor	2	68	I-II		DA			DA		1397.058824	1.3-1.5K
Golf naselje	3	68	I-II	DA	NE			DA	2	1397.058824	1.3-1.5K
Novi Beograd-Fontana	3	63	V+	NE	DA	DA	DA	DA	2	1396.825397	1.3-1.5K
Medaković 1	3	63	I-II	DA	NE				2	1396.825397	1.3-1.5K
Medaković 1	3	63	I-II	DA	NE				2	1396.825397	1.3-1.5K
Novi Beograd-Studentski grad	3	58	V+		DA	DA		DA		1396.551724	1.3-1.5K
Novi Beograd-Sava Centar	4	86	I-II	NE	DA	DA	NE	DA	1	1395.348837	1.3-1.5K
Djeram pijaca 	3	76	V+	NE	DA	DA	NE	DA	1	1394.736842	1.3-1.5K
Novi Beograd-Opština	3	76	III-IV	NE	DA	DA	NE	DA	1	1394.736842	1.3-1.5K
Zemun-Save Kovačevića	2	33	I-II	DA	NE	NE		DA	1	1393.939394	1.3-1.5K
Novi Beograd-Opština	2	61	I-II	NE	DA	NE	NE	DA	1	1393.442623	1.3-1.5K
Novi Beograd-Studentski grad	3	61	V+		DA	DA		DA		1393.442623	1.3-1.5K
Novi Beograd-Sava Centar	2	61	V+	NE	DA	DA	NE	DA	1	1393.442623	1.3-1.5K
Vračar-Kalenić pijaca	3	61	P		DA			DA	1	1393.442623	1.3-1.5K
Golf naselje	1	28	P	DA	DA		DA	DA		1392.857143	1.3-1.5K
Novi Beograd-Hotel Jugoslavija	4	107	V+	NE	DA	DA		DA	1	1392.523364	1.3-1.5K
Beli dvor	3	64	P	DA	NE		DA	DA		1390.625	1.3-1.5K
Tašmajdan	2	64	V+	NE	DA	DA	DA	DA	1	1390.625	1.3-1.5K
Novi Beograd-Fontana	3	59	V+	NE	DA	DA	NE	DA	1	1389.830508	1.3-1.5K
Novi Beograd-Blokovi Sava	3	77	P		DA				1	1389.61039	1.3-1.5K
Lekino Brdo	1	27	V+	DA	DA	DA			1	1388.888889	1.3-1.5K
Novi Beograd-Sava Centar	4	90	III-IV	NE	DA	DA	NE	DA	1	1388.888889	1.3-1.5K
Novi Beograd-Sava Centar	3	72	III-IV	NE	DA				1	1388.888889	1.3-1.5K
Novi Beograd-Sava Centar	2	49	V+	NE	DA	DA	DA	DA	1	1387.755102	1.3-1.5K
Donji Dorćol	3	93	I-II		DA	DA		DA	1	1386.021505	1.3-1.5K
Višnjicka banja	2	52	I-II		DA			DA	1	1384.615385	1.3-1.5K
Vukov Spomenik	2	52	III-IV	NE	NE	NE	NE	DA	2	1384.615385	1.3-1.5K
Košutnjak	4	86	V+	NE	DA	DA		DA	1	1383.72093	1.3-1.5K
Vračar-Kalenić pijaca	3	65	III-IV	NE	DA			DA	1	1383.076923	1.3-1.5K
Konjarnik	2	81	V+	NE	DA	DA	DA	DA		1382.716049	1.3-1.5K
